"dept_CODE","municipality","year","Population_1993","victims__UR","cum_victims_UR","cum_displaced_AS","displaced_AS","cum_displaced_CODHES","displaced_RUV","cum_displaced_RUV","displaced_CEDE","cum_displaced_CEDE","displaced_JYP","cum_displaced_JYP","number_dept","province","province_code","n_disp_0lead","n_disp_1lead","n_disp_2lead","n_viol_0lead","n_viol_1lead","n_viol_2lead","instance"
5,5036,2002,6284,2,19,580,0,255,69,1132,14,380,50,802,"ANTIOQUIA","SUROESTE",8,0,0,7,2,0,0,1
5,5044,2002,6961,3,21,591,0,2805,118,3470,46,1406,73,2390,"ANTIOQUIA","OCCIDENTE",6,0,0,30,3,0,0,1
5,5125,2001,6896,3,9,433,0,3,185,728,75,149,126,434,"ANTIOQUIA","SUROESTE",8,0,0,16,3,0,0,1
5,5134,2001,10078,5,11,337,0,50,343,1183,94,230,148,453,"ANTIOQUIA","NORTE",5,0,0,6,5,0,0,1
5,5240,2000,13943,1,4,95,0,0,80,267,24,33,44,130,"ANTIOQUIA","OCCIDENTE",6,0,0,20,1,0,0,1
5,5368,2003,15977,2,9,72,0,3,26,111,4,69,15,81,"ANTIOQUIA","SUROESTE",8,0,0,19,2,0,0,1
5,5483,1999,14512,2,5,1136,0,6,1714,2782,172,255,636,1178,"ANTIOQUIA","ORIENTE",7,0,0,10,2,0,0,1
5,5495,2002,13598,1,1,1649,0,240,579,2556,337,1260,483,1979,"ANTIOQUIA","BAJO CAUCA",2,0,0,43,1,0,0,1
5,5576,2000,9532,5,16,320,0,3,133,562,22,101,97,354,"ANTIOQUIA","SUROESTE",8,0,0,25,5,0,0,1
5,5628,2002,7726,1,16,1066,0,548,153,2895,53,194,95,1451,"ANTIOQUIA","OCCIDENTE",6,0,0,5,1,0,0,1
5,5664,2000,17052,3,11,1186,0,11,304,1772,430,1118,166,1041,"ANTIOQUIA","NORTE",5,0,0,3,3,0,0,1
5,5893,1997,10121,6,13,463,0,0,354,639,340,340,266,461,"ANTIOQUIA","MAGDALENA MEDIO",3,0,0,670,6,0,0,1
8,8141,2003,11113,3,3,13,0,23,0,30,4,34,0,18,"ATLÁNTICO","SUR",16,0,0,44,3,0,0,1
15,15550,2008,1907,1,1,182,0,33,16,317,6,163,8,216,"BOYACÁ","LA LIBERTAD",25,0,0,4,1,0,0,1
15,15667,1997,7562,2,2,3,0,0,4,4,0,0,3,3,"BOYACÁ","NEIRA",28,0,0,30,2,0,0,1
17,17867,2005,9620,2,2,252,0,64,90,491,44,185,50,273,"CALDAS","ORIENTE",41,0,0,9,2,0,0,1
19,19256,1997,42178,8,8,223,0,0,49,96,9,9,20,27,"CAUCA","CENTRO",44,0,0,150,8,0,0,1
19,19318,2005,26657,6,6,450,0,1578,223,1408,116,532,183,1264,"CAUCA","OCCIDENTE",46,0,0,1135,6,0,0,1
19,19392,2000,11905,1,1,65,0,220,65,106,20,20,23,35,"CAUCA","CENTRO",44,0,0,3,1,0,0,1
23,23079,1997,16640,1,1,213,0,0,40,49,23,23,18,26,"CORDOBA","SAN JORGE",62,0,0,80,1,0,0,1
23,23672,2003,19727,1,1,149,0,23,49,230,14,90,23,149,"CORDOBA","COSTANERA",60,0,0,20,1,0,0,1
25,25839,2003,12926,6,6,147,0,74,122,226,67,112,95,160,"CUNDINAMARCA","GUAVIO",68,0,0,23,6,0,0,1
