"dept_CODE","municipality","year","Population_1993","victims__UR","cum_victims_UR","displaced_AS","cum_displaced_AS","displaced_CODHES","cum_displaced_CODHES","displaced_RUV","cum_displaced_RUV","displaced_CEDE","cum_displaced_CEDE","displaced_JYP","cum_displaced_JYP","number_dept","province","province_code"
5,5002,2002,23735,4,19,862,1993,56,148,2131,4999,923,1767,1667,3584,"ANTIOQUIA","ORIENTE",7
5,5002,2003,23735,1,20,573,2566,6,154,1277,6276,381,2148,773,4357,"ANTIOQUIA","ORIENTE",7
5,5021,2000,4732,4,11,430,540,0,2,1226,1569,197,208,530,627,"ANTIOQUIA","ORIENTE",7
5,5021,2001,4732,19,30,781,1321,860,862,2641,4210,1474,1682,1871,2498,"ANTIOQUIA","ORIENTE",7
5,5031,2011,19070,1,17,116,2893,5941,6325,265,5656,0,2018,175,3776,"ANTIOQUIA","NORDESTE",4
5,5038,2001,13259,0,0,83,262,0,6,1739,2116,440,503,515,698,"ANTIOQUIA","NORTE",5
5,5040,2001,12634,3,28,740,1184,160,160,2730,3821,2337,2675,2126,2833,"ANTIOQUIA","NORDESTE",4
5,5040,2008,12634,0,37,181,2360,2050,2634,712,6189,453,4126,568,4895,"ANTIOQUIA","NORDESTE",4
5,5040,2011,12634,0,37,138,2762,5045,7916,5833,12500,0,4139,5179,10402,"ANTIOQUIA","NORDESTE",4
5,5044,2000,6961,5,18,328,497,2800,2805,2626,3202,1315,1340,2081,2263,"ANTIOQUIA","OCCIDENTE",6
5,5045,1996,78650,21,21,0,0,1,1,4857,4857,0,0,2787,2787,"ANTIOQUIA","URABA",9
5,5045,1997,78650,39,60,7926,7926,3610,3611,10729,15586,7774,7774,9697,12484,"ANTIOQUIA","URABA",9
5,5045,1998,78650,7,67,2281,10207,102,3713,4047,19633,1730,9504,3234,15718,"ANTIOQUIA","URABA",9
5,5045,1999,78650,14,81,1179,11386,550,4263,2596,22229,1128,10632,1970,17688,"ANTIOQUIA","URABA",9
5,5045,2000,78650,19,100,2063,13449,395,4658,4380,26609,1743,12375,3341,21029,"ANTIOQUIA","URABA",9
5,5045,2001,78650,9,109,2293,15742,1420,6078,3244,29853,2264,14639,2761,23790,"ANTIOQUIA","URABA",9
5,5045,2002,78650,9,118,2019,17761,824,6902,3302,33155,1946,16585,2738,26528,"ANTIOQUIA","URABA",9
5,5045,2003,78650,0,118,697,18458,746,7648,1168,34323,520,17105,880,27408,"ANTIOQUIA","URABA",9
5,5045,2004,78650,5,123,871,19329,1443,9091,1494,35817,728,17833,1157,28565,"ANTIOQUIA","URABA",9
5,5045,2005,78650,1,124,1858,21187,1287,10378,3375,39192,1688,19521,2736,31301,"ANTIOQUIA","URABA",9
5,5045,2006,78650,2,126,1301,22488,1314,11692,3100,42292,1772,21293,2591,33892,"ANTIOQUIA","URABA",9
5,5045,2007,78650,6,132,1644,24132,1634,13326,2481,44773,1406,22699,1967,35859,"ANTIOQUIA","URABA",9
5,5045,2008,78650,4,136,1367,25499,2635,15961,2045,46818,1035,23734,1552,37411,"ANTIOQUIA","URABA",9
5,5045,2009,78650,1,137,879,26378,2575,18536,1372,48190,9,23743,1014,38425,"ANTIOQUIA","URABA",9
5,5045,2010,78650,1,138,552,26930,2983,21519,1010,49200,0,23743,643,39068,"ANTIOQUIA","URABA",9
5,5045,2011,78650,7,145,505,27435,767,22286,1138,50338,0,23743,701,39769,"ANTIOQUIA","URABA",9
5,5051,1997,26900,0,0,6840,6840,345,345,3241,4008,2369,2369,2756,3214,"ANTIOQUIA","URABA",9
5,5055,2002,11632,4,4,3010,4806,1025,1044,6911,10044,3977,4965,6095,8084,"ANTIOQUIA","ORIENTE",7
5,5055,2003,11632,0,4,946,5752,1648,2692,1727,11771,1109,6074,1485,9569,"ANTIOQUIA","ORIENTE",7
5,5055,2004,11632,0,4,956,6708,708,3400,1647,13418,985,7059,1515,11084,"ANTIOQUIA","ORIENTE",7
5,5055,2005,11632,0,4,1216,7924,993,4393,4316,17734,3306,10365,4053,15137,"ANTIOQUIA","ORIENTE",7
5,5055,2006,11632,0,4,982,8906,1747,6140,3373,21107,2906,13271,3133,18270,"ANTIOQUIA","ORIENTE",7
5,5055,2007,11632,0,4,413,9319,79,6219,630,21737,2628,15899,554,18824,"ANTIOQUIA","ORIENTE",7
5,5055,2008,11632,0,4,269,9588,153,6372,356,22093,2380,18279,321,19145,"ANTIOQUIA","ORIENTE",7
5,5055,2012,11632,0,4,0,9686,653,7355,76,22336,0,18464,19,19280,"ANTIOQUIA","ORIENTE",7
5,5079,2000,34698,17,30,169,281,550,594,1224,1580,275,287,953,1067,"ANTIOQUIA","VALLE DEL ABURRA",10
5,5093,1999,15771,11,18,1032,1435,550,649,4532,5137,1961,2089,4040,4385,"ANTIOQUIA","SUROESTE",8
5,5093,2000,15771,14,32,2931,4366,1522,2171,8277,13414,2944,5033,6733,11118,"ANTIOQUIA","SUROESTE",8
5,5113,2001,7215,6,10,836,1060,2550,2592,4734,5184,2212,2256,3764,4019,"ANTIOQUIA","OCCIDENTE",6
5,5120,1997,20562,0,0,630,630,30,31,312,638,178,178,224,392,"ANTIOQUIA","BAJO CAUCA",2
5,5120,2001,20562,0,0,608,1942,410,499,1301,3106,742,1358,1186,2455,"ANTIOQUIA","BAJO CAUCA",2
5,5120,2009,20562,11,15,735,5176,138,1023,1557,8652,3,3346,1189,6738,"ANTIOQUIA","BAJO CAUCA",2
5,5120,2010,20562,0,15,1052,6228,1579,2602,1890,10542,0,3346,1250,7988,"ANTIOQUIA","BAJO CAUCA",2
5,5120,2011,20562,2,17,882,7110,664,3266,2278,12820,0,3346,1528,9516,"ANTIOQUIA","BAJO CAUCA",2
5,5120,2012,20562,0,17,0,7110,719,3985,1318,14138,0,3346,340,9856,"ANTIOQUIA","BAJO CAUCA",2
5,5138,1997,19514,4,6,742,742,57,57,497,891,225,225,375,618,"ANTIOQUIA","OCCIDENTE",6
5,5138,2000,19514,9,16,659,1983,50,187,1342,3248,363,926,957,2340,"ANTIOQUIA","OCCIDENTE",6
5,5147,1996,28999,4,4,0,0,0,0,1461,1461,0,0,724,724,"ANTIOQUIA","URABA",9
5,5147,1997,28999,1,5,2208,2208,277,277,1032,2493,641,641,708,1432,"ANTIOQUIA","URABA",9
5,5147,1998,28999,0,5,437,2645,37,314,1346,3839,697,1338,1091,2523,"ANTIOQUIA","URABA",9
5,5147,1999,28999,1,6,294,2939,3150,3464,618,4457,173,1511,406,2929,"ANTIOQUIA","URABA",9
5,5147,2000,28999,1,7,525,3464,1000,4464,961,5418,325,1836,748,3677,"ANTIOQUIA","URABA",9
5,5147,2001,28999,0,7,978,4442,1890,6354,1400,6818,899,2735,1263,4940,"ANTIOQUIA","URABA",9
5,5148,1997,35455,0,8,753,753,15,15,762,1114,62,62,470,648,"ANTIOQUIA","ORIENTE",7
5,5148,2002,35455,4,55,800,2762,204,840,1200,4894,609,1731,950,3198,"ANTIOQUIA","ORIENTE",7
5,5148,2003,35455,0,55,515,3277,756,1596,1073,5967,602,2333,867,4065,"ANTIOQUIA","ORIENTE",7
5,5154,2008,54744,0,0,789,4175,568,2308,1367,6822,391,2993,913,4837,"ANTIOQUIA","BAJO CAUCA",2
5,5154,2009,54744,3,3,1932,6107,762,3070,2776,9598,82,3075,2130,6967,"ANTIOQUIA","BAJO CAUCA",2
5,5154,2010,54744,12,15,2338,8445,3323,6393,3721,13319,0,3075,2594,9561,"ANTIOQUIA","BAJO CAUCA",2
5,5154,2011,54744,15,30,1167,9612,1009,7402,2287,15606,0,3075,1654,11215,"ANTIOQUIA","BAJO CAUCA",2
5,5154,2012,54744,1,31,0,9612,1698,9100,862,16468,0,3075,167,11382,"ANTIOQUIA","BAJO CAUCA",2
5,5172,1996,41090,8,8,0,0,12,12,4245,4245,0,0,2885,2885,"ANTIOQUIA","URABA",9
5,5172,1997,41090,4,12,4747,4747,473,485,2735,6980,1722,1722,1753,4638,"ANTIOQUIA","URABA",9
5,5172,1998,41090,1,13,902,5649,90,575,1609,8589,484,2206,1175,5813,"ANTIOQUIA","URABA",9
5,5172,1999,41090,9,22,578,6227,360,935,1251,9840,321,2527,748,6561,"ANTIOQUIA","URABA",9
5,5172,2000,41090,4,26,795,7022,395,1330,1483,11323,492,3019,1078,7639,"ANTIOQUIA","URABA",9
5,5172,2001,41090,0,26,898,7920,280,1610,1292,12615,733,3752,1073,8712,"ANTIOQUIA","URABA",9
5,5172,2002,41090,0,26,775,8695,150,1760,1170,13785,604,4356,942,9654,"ANTIOQUIA","URABA",9
5,5172,2007,41090,2,29,965,11235,106,2052,1419,18320,794,6402,1141,12866,"ANTIOQUIA","URABA",9
5,5172,2008,41090,4,33,1134,12369,389,2441,1865,20185,750,7152,1363,14229,"ANTIOQUIA","URABA",9
5,5172,2010,41090,1,34,510,13404,681,3343,898,21917,0,7168,591,15412,"ANTIOQUIA","URABA",9
5,5172,2011,41090,1,35,649,14053,298,3641,1229,23146,0,7168,841,16253,"ANTIOQUIA","URABA",9
5,5197,1997,20333,0,5,862,862,53,53,322,601,95,95,200,327,"ANTIOQUIA","ORIENTE",7
5,5197,2000,20333,3,8,3992,5607,2325,2415,6887,9277,7089,7338,5190,6474,"ANTIOQUIA","ORIENTE",7
5,5197,2001,20333,17,25,1632,7239,0,2415,5806,15083,3184,10522,4751,11225,"ANTIOQUIA","ORIENTE",7
5,5197,2002,20333,23,48,3789,11028,93,2508,6268,21351,2836,13358,5314,16539,"ANTIOQUIA","ORIENTE",7
5,5197,2003,20333,0,48,1694,12722,449,2957,2869,24220,1269,14627,2421,18960,"ANTIOQUIA","ORIENTE",7
5,5197,2004,20333,0,48,1353,14075,1280,4237,3325,27545,1797,16424,2956,21916,"ANTIOQUIA","ORIENTE",7
5,5197,2005,20333,0,48,740,14815,46,4283,1389,28934,722,17146,1238,23154,"ANTIOQUIA","ORIENTE",7
5,5197,2012,20333,0,48,0,16121,534,5252,65,31124,0,18123,21,24949,"ANTIOQUIA","ORIENTE",7
5,5234,1996,23860,16,16,0,0,0,0,1265,1265,0,0,804,804,"ANTIOQUIA","OCCIDENTE",6
5,5234,1997,23860,81,97,3322,3322,117,117,4140,5405,888,888,2757,3561,"ANTIOQUIA","OCCIDENTE",6
5,5234,1998,23860,14,111,1881,5203,39,156,3446,8851,1088,1976,2608,6169,"ANTIOQUIA","OCCIDENTE",6
5,5234,1999,23860,13,124,1598,6801,694,850,2733,11584,735,2711,2050,8219,"ANTIOQUIA","OCCIDENTE",6
5,5234,2000,23860,3,127,1940,8741,202,1052,3285,14869,1035,3746,2496,10715,"ANTIOQUIA","OCCIDENTE",6
5,5234,2001,23860,2,129,2495,11236,183,1235,3969,18838,2191,5937,3396,14111,"ANTIOQUIA","OCCIDENTE",6
5,5234,2002,23860,0,129,1662,12898,25,1260,3196,22034,1573,7510,2594,16705,"ANTIOQUIA","OCCIDENTE",6
5,5234,2003,23860,0,129,728,13626,163,1423,1427,23461,628,8138,1133,17838,"ANTIOQUIA","OCCIDENTE",6
5,5234,2004,23860,0,129,1571,15197,1006,2429,3094,26555,1317,9455,2676,20514,"ANTIOQUIA","OCCIDENTE",6
5,5234,2005,23860,4,133,1130,16327,42,2471,1765,28320,885,10340,1498,22012,"ANTIOQUIA","OCCIDENTE",6
5,5234,2006,23860,0,133,1107,17434,75,2546,1510,29830,858,11198,1316,23328,"ANTIOQUIA","OCCIDENTE",6
5,5234,2007,23860,0,133,1025,18459,106,2652,1445,31275,816,12014,1240,24568,"ANTIOQUIA","OCCIDENTE",6
5,5234,2008,23860,0,133,805,19264,235,2887,1102,32377,607,12621,907,25475,"ANTIOQUIA","OCCIDENTE",6
5,5234,2009,23860,8,141,652,19916,96,2983,821,33198,25,12646,727,26202,"ANTIOQUIA","OCCIDENTE",6
5,5234,2010,23860,0,141,335,20251,616,3599,573,33771,0,12646,396,26598,"ANTIOQUIA","OCCIDENTE",6
5,5234,2012,23860,0,141,0,20469,819,4475,506,34942,0,12646,226,27130,"ANTIOQUIA","OCCIDENTE",6
5,5237,2004,13946,0,11,14,67,522,567,33,179,13,39,18,88,"ANTIOQUIA","NORTE",5
5,5250,2000,38792,0,0,1205,2458,1400,1407,4380,6388,3733,4484,3638,4923,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2001,38792,1,1,3633,6091,110,1517,4822,11210,3231,7715,4213,9136,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2002,38792,0,1,2457,8548,31,1548,3786,14996,2049,9764,2891,12027,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2003,38792,0,1,641,9189,0,1548,1084,16080,493,10257,814,12841,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2004,38792,0,1,767,9956,218,1766,1363,17443,787,11044,1060,13901,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2005,38792,0,1,1341,11297,51,1817,2496,19939,1692,12736,2107,16008,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2006,38792,1,2,717,12014,20,1837,1282,21221,665,13401,959,16967,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2007,38792,0,2,928,12942,86,1923,1350,22571,794,14195,1062,18029,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2008,38792,1,3,883,13825,93,2016,1319,23890,585,14780,981,19010,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2009,38792,0,3,812,14637,49,2065,1193,25083,38,14818,883,19893,"ANTIOQUIA","BAJO CAUCA",2
5,5250,2010,38792,4,7,498,15135,772,2837,1101,26184,0,14818,569,20462,"ANTIOQUIA","BAJO CAUCA",2
5,5284,1996,24441,17,17,0,0,0,0,1454,1454,0,0,876,876,"ANTIOQUIA","OCCIDENTE",6
5,5284,1997,24441,1,18,1668,1668,110,110,1275,2729,118,118,835,1711,"ANTIOQUIA","OCCIDENTE",6
5,5284,1998,24441,6,24,1010,2678,38,148,1724,4453,166,284,1265,2976,"ANTIOQUIA","OCCIDENTE",6
5,5284,2000,24441,8,37,1321,4569,1000,1313,3536,9071,9269,9682,2705,6403,"ANTIOQUIA","OCCIDENTE",6
5,5284,2012,24441,0,39,0,7152,1031,2882,170,13691,0,11073,38,9766,"ANTIOQUIA","OCCIDENTE",6
5,5313,2000,16171,20,20,2301,3113,80,700,6593,9608,1135,1538,2815,3806,"ANTIOQUIA","ORIENTE",7
5,5313,2001,16171,16,36,3021,6134,449,1149,6289,15897,2820,4358,4378,8184,"ANTIOQUIA","ORIENTE",7
5,5313,2002,16171,10,46,3776,9910,2136,3285,9109,25006,6187,10545,7810,15994,"ANTIOQUIA","ORIENTE",7
5,5313,2003,16171,6,52,2006,11916,410,3695,2834,27840,1674,12219,2438,18432,"ANTIOQUIA","ORIENTE",7
5,5313,2004,16171,0,52,1536,13452,590,4285,2300,30140,1545,13764,2096,20528,"ANTIOQUIA","ORIENTE",7
5,5313,2005,16171,0,52,810,14262,79,4364,1123,31263,700,14464,989,21517,"ANTIOQUIA","ORIENTE",7
5,5361,1997,28234,18,29,1384,1384,5,6,4886,5277,1771,1771,4107,4364,"ANTIOQUIA","NORTE",5
5,5361,1998,28234,0,29,423,1807,0,6,2177,7454,1460,3231,1996,6360,"ANTIOQUIA","NORTE",5
5,5361,2000,28234,17,46,702,2702,4050,4317,2307,10164,1103,4431,1905,8547,"ANTIOQUIA","NORTE",5
5,5361,2001,28234,14,60,1365,4067,820,5137,4134,14298,1945,6376,3328,11875,"ANTIOQUIA","NORTE",5
