,admin2Name,Name (merged),ADM2_PCODE,lat,lon,,,,,,,
9,Abejorral,Abejorral,CO05002,5.789444444444444,-75.42805555555556,,,,,,,
10,Abriaquí,Abriaquí,CO05004,6.633333333333333,-76.06666666666666,,,,,,,
742,Acacías,Acacías,CO50006,3.9877777777777776,-73.75972222222222,,,,,,,
476,Acandí,Acandí,CO27006,8.533333333333333,-77.23333333333333,,,,,,,
1119,Acaricuara,Acaricuara,NA,0.7,-70.23333333333333,,,,,,,
676,"Acevedo, Huila",Acevedo,CO41006,1.81917,-75.8964,,,,,,,
182,"Achí, Bolívar",Achí,CO13006,8.566666666666666,-74.55,,,,,,,
535,Agua de Dios,Agrado,CO41013,4.378055555555555,-74.6738888888889,,,,,,,
451,Aguachica,Aguachica,CO20011,8.316666666666666,-73.63333333333334,,,,,,,
913,"Aguada, Santander",Aguada,CO68013,6.25,-73.46666666666667,,,,,,,
347,"Aguadas, Caldas",Aguadas,CO17013,5.616666666666667,-75.46666666666667,,,,,,,
390,Aguazul,Aguazul,CO85010,5.17306,-72.5547,,,,,,,
457,"Agustín Codazzi, Cesar",Agustín Codazzi,CO20013,10.036666666666667,-73.23694444444445,,,,,,,
678,Aipe,Aipe,CO41016,3.216666666666667,-75.23333333333333,,,,,,,
771,Albán,Albán,CO25019,1.474444,-77.083611,,,,,,,
536,"Albán, Cundinamarca",Albán,CO52019,4.878333333333334,-74.43833333333333,,,,,,,
374,"Albania, Caquetá",Albania,CO18029,1.33167,-75.8822,,,,,,,
650,"Albania, La Guajira",Albania,CO44035,11.1597,-72.5856,,,,,,,
914,"Albania, Santander",Albania,CO68020,5.76139,-73.9178,,,,,,,
1071,"Alcalá, Valle del Cauca",Alcalá,CO76020,4.666666666666667,-75.75,,,,,,,
772,Aldana,Aldana,CO52022,0.8833333333333333,-77.7,,,,,,,
11,Alejandría,Alejandría,CO05021,6.376944444444444,-75.14111111111112,,,,,,,
712,"Algarrobo, Magdalena",Algarrobo,CO47030,10.1,-74.2667,,,,,,,
679,"Algeciras, Huila",Algeciras,CO41020,2.533333333333333,-75.31666666666666,,,,,,,
409,"Almaguer, Cauca",Almaguer,CO19022,1.9166666666666665,-76.86666666666666,,,,,,,
224,"Almeida, Boyacá",Almeida,CO15022,4.966666666666667,-73.38333333333334,,,,,,,
1025,"Alpujarra, Tolima",Alpujarra,CO73024,3.4166666666666665,-74.91666666666667,,,,,,,
680,"Altamira, Huila",Altamira,CO41026,2.06278,-75.7872,,,,,,,
477,Alto Baudó,Alto Baudó,CO27025,5.533333333333333,-77,,,,,,,
183,Altos del Rosario,Altos del Rosario,CO13030,8.8,-74.16666666666667,,,,,,,
1026,"Alvarado, Tolima",Alvarado,CO73026,4.566666666666666,-74.95,,,,,,,
12,Amagá,Amagá,CO05030,6.05,-75.7,,,,,,,
13,"Amalfi, Antioquia",Amalfi,CO05031,6.916666666666667,-75.08333333333333,,,,,,,
1027,Ambalema,Ambalema,CO73030,4.783333333333333,-74.76666666666667,,,,,,,
342,Ámbita,Úmbita,CO15842,5.216666666666667,-73.46666666666667,,,,,,,
537,Anapoima,Anapoima,CO25035,4.550277777777778,-74.53611111111111,,,,,,,
773,Ancuya,Ancuya,CO52036,1.2666666666666666,-77.53333333333333,,,,Úmbita,CO15842,,
1072,"Andalucía, Valle del Cauca",Andalucía,CO76036,4.166666666666667,-76.16666666666667,,,,,,,
14,"Andes, Antioquia",Andes,CO05034,5.583333333333333,-75.91666666666667,,,,,,,
15,Angelópolis,Angelópolis,CO05036,6.133333333333334,-75.7,,,,,,,
16,"Angostura, Antioquia",Angostura,CO05038,6.866666666666667,-75.33333333333333,,,,,,,
538,Anolaima,Anolaima,CO25040,4.761738888888889,-74.46401666666667,,,,,,,
17,Anorí,Anorí,CO05040,7.073611111111111,-75.14583333333334,,,,,,,
348,"Anserma, Caldas",Anserma,CO17042,5.238091666666667,-75.78404166666667,,,,,,,
1073,Ansermanuevo,Ansermanuevo,CO76041,4.8,-76,,,,,,,
1028,"Anzoátegui, Tolima",Anzoátegui,CO73043,4.63389,-75.0972,,,,,,,
19,Apartadó,Apartadó,CO05045,7.883333333333333,-76.63333333333334,,,,,,,
