OBJECTID *,Shape *,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area,,,,,,,,,,,,,,,,,,,,,,,,,
1,Polygon,Abejorral,CO05002,<Null>,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,1.158405,0.041383,,,,,,,,,,,,,,,,,,,,,,,,,
2,Polygon,Ábrego,CO54003,Ábrego,<Null>,<Null>,Norte de Santander,CO54,Colombia,CO,1/1/18,4/16/20,<Null>,2.239376,0.113362,,,,,,,,,,,,,,,,,,,,,,,,,
3,Polygon,Abriaquí,CO05004,Abriaqui,<Null>,<Null>,Antioquia,CO05,Colombia,CO,1/1/18,4/16/20,<Null>,0.810667,0.024253,,,,,,,,,,,,,,,,,,,,,,,,,
4,Polygon,Acacías,CO50006,Acacias,<Null>,<Null>,Meta,CO50,Colombia,CO,1/1/18,4/16/20,<Null>,2.074207,0.091507,,,,,,,,,,,,,,,,,,,,,,,,,
5,Polygon,Acandí,CO27006,Acandi,<Null>,<Null>,Chocó,CO27,Colombia,CO,1/1/18,4/16/20,<Null>,1.814349,0.065288,,,,,,,,,,,,,,,,,,,,,,,,,
6,Polygon,Acevedo,CO41006,<Null>,<Null>,<Null>,Huila,CO41,Colombia,CO,1/1/18,4/16/20,<Null>,1.160988,0.043881,,,,,,,,,,,,,,,,,,,,,,,,,
7,Polygon,Achí,CO13006,Achi,<Null>,<Null>,Bolívar,CO13,Colombia,CO,1/1/18,4/16/20,<Null>,1.837151,0.078179,,,,,,,,,,,,,,,,,,,,,,,,,
8,Polygon,Agrado,CO41013,<Null>,<Null>,<Null>,Huila,CO41,Colombia,CO,1/1/18,4/16/20,<Null>,0.939702,0.022237,,,,,,,,,,,,,,,,,,,,,,,,,
9,Polygon,Agua de Dios,CO25001,<Null>,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.473254,0.006985,,,,,,,,,,,,,,,,,,,,,,,,,
10,Polygon,Aguachica,CO20011,<Null>,<Null>,<Null>,Cesar,CO20,Colombia,CO,1/1/18,4/16/20,<Null>,1.965042,0.072024,,,,,,,,,,,,,,,,,,,,,,,,,
11,Polygon,Aguada,CO68013,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.47581,0.006146,,,,,,,,,,,,,,,,,,,,,,,,,
12,Polygon,Aguadas,CO17013,<Null>,<Null>,<Null>,Caldas,CO17,Colombia,CO,1/1/18,4/16/20,<Null>,1.374256,0.038807,,,,,,,,,,,,,,,,,,,,,,,,,
13,Polygon,Aguazul,CO85010,<Null>,<Null>,<Null>,Casanare,CO85,Colombia,CO,1/1/18,4/16/20,<Null>,2.224296,0.117565,,,,,,,,,,,,,,,,,,,,,,,,,
14,Polygon,Agustín Codazzi,CO20013,Agustin Codazzi,<Null>,<Null>,Cesar,CO20,Colombia,CO,1/1/18,4/16/20,<Null>,2.907061,0.144507,,,,,,,,,,,,,,,,,,,,,,,,,
15,Polygon,Aipe,CO41016,<Null>,<Null>,<Null>,Huila,CO41,Colombia,CO,1/1/18,4/16/20,<Null>,2.139396,0.064708,,,,,,,,,,,,,,,,,,,,,,,,,
16,Polygon,Albán,CO25019,Alban,<Null>,<Null>,Cundinamarca,CO25,Colombia,CO,1/1/18,4/16/20,<Null>,0.516214,0.004144,,,,,,,,,,,,,,,,,,,,,,,,,
17,Polygon,Albán,CO52019,Alban,<Null>,<Null>,Nariño,CO52,Colombia,CO,1/1/18,4/16/20,<Null>,0.340269,0.003129,,,,,,,,,,,,,,,,,,,,,,,,,
18,Polygon,Albania,CO18029,<Null>,<Null>,<Null>,Caquetá,CO18,Colombia,CO,1/1/18,4/16/20,<Null>,1.112829,0.033618,,,,,,,,,,,,,,,,,,,,,,,,,
19,Polygon,Albania,CO44035,<Null>,<Null>,<Null>,La Guajira,CO44,Colombia,CO,1/1/18,4/16/20,<Null>,1.485416,0.045171,,,,,,,,,,,,,,,,,,,,,,,,,
20,Polygon,Albania,CO68020,<Null>,<Null>,<Null>,Santander,CO68,Colombia,CO,1/1/18,4/16/20,<Null>,0.87613,0.01357,,,,,,,,,,,,,,,,,,,,,,,,,
