number_dept,province,Muni_code
AMAZONAS,AMAZONAS,91263
AMAZONAS,AMAZONAS,91405
AMAZONAS,AMAZONAS,91407
AMAZONAS,AMAZONAS,91430
AMAZONAS,AMAZONAS,91001
AMAZONAS,AMAZONAS,91460
AMAZONAS,AMAZONAS,91530
AMAZONAS,AMAZONAS,91536
AMAZONAS,AMAZONAS,91540
AMAZONAS,AMAZONAS,91669
AMAZONAS,AMAZONAS,91798
ANTIOQUIA,BAJO CAUCA,05120
ANTIOQUIA,BAJO CAUCA,05154
ANTIOQUIA,BAJO CAUCA,05250
ANTIOQUIA,BAJO CAUCA,5495
ANTIOQUIA,BAJO CAUCA,05790
ANTIOQUIA,BAJO CAUCA,05895
ANTIOQUIA,MAGDALENA MEDIO,05142
ANTIOQUIA,MAGDALENA MEDIO,05425
ANTIOQUIA,MAGDALENA MEDIO,05579
ANTIOQUIA,MAGDALENA MEDIO,5585
ANTIOQUIA,MAGDALENA MEDIO,05591
ANTIOQUIA,MAGDALENA MEDIO,05893
ANTIOQUIA,NORDESTE,05031
ANTIOQUIA,NORDESTE,05040
ANTIOQUIA,NORDESTE,05190
ANTIOQUIA,NORDESTE,05604
ANTIOQUIA,NORDESTE,05670
ANTIOQUIA,NORDESTE,5690
ANTIOQUIA,NORDESTE,05736
ANTIOQUIA,NORDESTE,05858
ANTIOQUIA,NORDESTE,05885
ANTIOQUIA,NORDESTE,05890
ANTIOQUIA,NORTE,05038
ANTIOQUIA,NORTE,05086
ANTIOQUIA,NORTE,05107
ANTIOQUIA,NORTE,05134
ANTIOQUIA,NORTE,05150
ANTIOQUIA,NORTE,05237
ANTIOQUIA,NORTE,05264
ANTIOQUIA,NORTE,05310
ANTIOQUIA,NORTE,05315
ANTIOQUIA,NORTE,05361
ANTIOQUIA,NORTE,05647
ANTIOQUIA,NORTE,05658
ANTIOQUIA,NORTE,05664
ANTIOQUIA,NORTE,05686
ANTIOQUIA,NORTE,05819
ANTIOQUIA,NORTE,05854
ANTIOQUIA,NORTE,05887
ANTIOQUIA,OCCIDENTE,05004
ANTIOQUIA,OCCIDENTE,05044
ANTIOQUIA,OCCIDENTE,05059
ANTIOQUIA,OCCIDENTE,05113
ANTIOQUIA,OCCIDENTE,05138
ANTIOQUIA,OCCIDENTE,05234
ANTIOQUIA,OCCIDENTE,05240
ANTIOQUIA,OCCIDENTE,05284
ANTIOQUIA,OCCIDENTE,05306
ANTIOQUIA,OCCIDENTE,5347
ANTIOQUIA,OCCIDENTE,05411
ANTIOQUIA,OCCIDENTE,05501
ANTIOQUIA,OCCIDENTE,05543
ANTIOQUIA,OCCIDENTE,05628
ANTIOQUIA,OCCIDENTE,05656
ANTIOQUIA,OCCIDENTE,05042
ANTIOQUIA,OCCIDENTE,05761
ANTIOQUIA,OCCIDENTE,05842
ANTIOQUIA,ORIENTE,05002
ANTIOQUIA,ORIENTE,05021
ANTIOQUIA,ORIENTE,05055
ANTIOQUIA,ORIENTE,05148
ANTIOQUIA,ORIENTE,05197
ANTIOQUIA,ORIENTE,05206
ANTIOQUIA,ORIENTE,05313
ANTIOQUIA,ORIENTE,05318
ANTIOQUIA,ORIENTE,05321
ANTIOQUIA,ORIENTE,05376
ANTIOQUIA,ORIENTE,05400
ANTIOQUIA,ORIENTE,05440
ANTIOQUIA,ORIENTE,05483
ANTIOQUIA,ORIENTE,05541
ANTIOQUIA,ORIENTE,05607
ANTIOQUIA,ORIENTE,05615
ANTIOQUIA,ORIENTE,05649
ANTIOQUIA,ORIENTE,05652
ANTIOQUIA,ORIENTE,05660
ANTIOQUIA,ORIENTE,05667
ANTIOQUIA,ORIENTE,05674
ANTIOQUIA,ORIENTE,05697
ANTIOQUIA,ORIENTE,05756
ANTIOQUIA,SUROESTE,05030
ANTIOQUIA,SUROESTE,05034
ANTIOQUIA,SUROESTE,05036
ANTIOQUIA,SUROESTE,05091
ANTIOQUIA,SUROESTE,05093
ANTIOQUIA,SUROESTE,05125
ANTIOQUIA,SUROESTE,05145
ANTIOQUIA,SUROESTE,05101
ANTIOQUIA,SUROESTE,05209
ANTIOQUIA,SUROESTE,05282
ANTIOQUIA,SUROESTE,05353
ANTIOQUIA,SUROESTE,05364
ANTIOQUIA,SUROESTE,5368
ANTIOQUIA,SUROESTE,05390
ANTIOQUIA,SUROESTE,05467
ANTIOQUIA,SUROESTE,05576
ANTIOQUIA,SUROESTE,05642
ANTIOQUIA,SUROESTE,05679
ANTIOQUIA,SUROESTE,05789
ANTIOQUIA,SUROESTE,05792
ANTIOQUIA,SUROESTE,05809
ANTIOQUIA,SUROESTE,05847
ANTIOQUIA,SUROESTE,05856
ANTIOQUIA,SUROESTE,05861
ANTIOQUIA,URABA,05045
ANTIOQUIA,URABA,05051
ANTIOQUIA,URABA,05147
ANTIOQUIA,URABA,05172
ANTIOQUIA,URABA,05475
ANTIOQUIA,URABA,05480
ANTIOQUIA,URABA,05490
ANTIOQUIA,URABA,05659
ANTIOQUIA,URABA,05665
ANTIOQUIA,URABA,05837
ANTIOQUIA,URABA,05873
ANTIOQUIA,VALLE DEL ABURRA,05079
ANTIOQUIA,VALLE DEL ABURRA,05088
ANTIOQUIA,VALLE DEL ABURRA,05129
ANTIOQUIA,VALLE DEL ABURRA,05212
ANTIOQUIA,VALLE DEL ABURRA,05266
ANTIOQUIA,VALLE DEL ABURRA,5308
ANTIOQUIA,VALLE DEL ABURRA,05360
ANTIOQUIA,VALLE DEL ABURRA,05380
ANTIOQUIA,VALLE DEL ABURRA,05001
ANTIOQUIA,VALLE DEL ABURRA,05631
ARAUCA,ARAUCA,81001
ARAUCA,ARAUCA,81065
ARAUCA,ARAUCA,81220
ARAUCA,ARAUCA,81300
ARAUCA,ARAUCA,81591
ARAUCA,ARAUCA,81736
ARAUCA,ARAUCA,81794
ARCHIPIELAGO DE S,ARCHIPIELAGO DE S A,88564
ARCHIPIELAGO DE S,ARCHIPIELAGO DE S A,88001
ATLÁNTICO,NORTE,08001
ATLÁNTICO,NORTE,08296
ATLÁNTICO,NORTE,08433
ATLÁNTICO,NORTE,08573
ATLÁNTICO,NORTE,08758
ATLÁNTICO,SUR,08137
ATLÁNTICO,SUR,08141
ATLÁNTICO,SUR,08421
ATLÁNTICO,SUR,08436
ATLÁNTICO,SUR,08606
ATLÁNTICO,SUR,08675
ATLÁNTICO,SUR,08770
ATLÁNTICO,CENTRO ORIENTE,08078
ATLÁNTICO,CENTRO ORIENTE,08520
ATLÁNTICO,CENTRO ORIENTE,08558
ATLÁNTICO,CENTRO ORIENTE,08560
ATLÁNTICO,CENTRO ORIENTE,08634
ATLÁNTICO,CENTRO ORIENTE,08638
ATLÁNTICO,CENTRO ORIENTE,08685
ATLÁNTICO,OCCIDENTAL,08372
ATLÁNTICO,OCCIDENTAL,08549
ATLÁNTICO,OCCIDENTAL,8832
ATLÁNTICO,OCCIDENTAL,08849
BOGOTÁ D.C.,BOGOTA,11001
BOLIVAR,DEPRESION MOMPOSINA,13188
BOLIVAR,DEPRESION MOMPOSINA,13300
BOLIVAR,DEPRESION MOMPOSINA,13440
BOLIVAR,DEPRESION MOMPOSINA,13468
BOLIVAR,DEPRESION MOMPOSINA,13650
BOLIVAR,DEPRESION MOMPOSINA,13780
BOLIVAR,DIQUE BOLIVARENSE,13052
BOLIVAR,DIQUE BOLIVARENSE,13062
BOLIVAR,DIQUE BOLIVARENSE,13140
BOLIVAR,DIQUE BOLIVARENSE,13001
BOLIVAR,DIQUE BOLIVARENSE,13222
BOLIVAR,DIQUE BOLIVARENSE,13433
BOLIVAR,DIQUE BOLIVARENSE,13620
BOLIVAR,DIQUE BOLIVARENSE,13647
BOLIVAR,DIQUE BOLIVARENSE,13673
BOLIVAR,DIQUE BOLIVARENSE,13683
BOLIVAR,DIQUE BOLIVARENSE,13760
BOLIVAR,DIQUE BOLIVARENSE,13836
BOLIVAR,DIQUE BOLIVARENSE,13838
BOLIVAR,DIQUE BOLIVARENSE,13873
BOLIVAR,LOBA,13030
BOLIVAR,LOBA,13074
BOLIVAR,LOBA,13268
BOLIVAR,LOBA,13580
BOLIVAR,LOBA,13600
BOLIVAR,LOBA,13667
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13042
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13160
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13473
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13670
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13688
BOLIVAR,MAGDALENA MEDIO BOLIVARENSE,13744
BOLIVAR,MOJANA BOLIVARENSE,13006
BOLIVAR,MOJANA BOLIVARENSE,13430
BOLIVAR,MOJANA BOLIVARENSE,13458
BOLIVAR,MOJANA BOLIVARENSE,13549
BOLIVAR,MOJANA BOLIVARENSE,13655
BOLIVAR,MOJANA BOLIVARENSE,13810
BOLIVAR,MONTES DE MARIA,13244
BOLIVAR,MONTES DE MARIA,13212
BOLIVAR,MONTES DE MARIA,13248
BOLIVAR,MONTES DE MARIA,13442
BOLIVAR,MONTES DE MARIA,13654
BOLIVAR,MONTES DE MARIA,13657
BOLIVAR,MONTES DE MARIA,13894
BOYACÁ,CENTRO,15232
BOYACÁ,CENTRO,15187
BOYACÁ,CENTRO,15204
BOYACÁ,CENTRO,15224
BOYACÁ,CENTRO,15476
BOYACÁ,CENTRO,15500
BOYACÁ,CENTRO,15646
BOYACÁ,CENTRO,15740
BOYACÁ,CENTRO,15762
BOYACÁ,CENTRO,15764
BOYACÁ,CENTRO,15763
BOYACÁ,CENTRO,15814
BOYACÁ,CENTRO,15001
BOYACÁ,CENTRO,15837
BOYACÁ,CENTRO,15861
BOYACÁ,GUTIERREZ,15180
BOYACÁ,GUTIERREZ,15223
BOYACÁ,GUTIERREZ,15244
BOYACÁ,GUTIERREZ,15248
BOYACÁ,GUTIERREZ,15317
BOYACÁ,GUTIERREZ,15332
BOYACÁ,GUTIERREZ,15522
BOYACÁ,LA LIBERTAD,15377
BOYACÁ,LA LIBERTAD,15518
BOYACÁ,LA LIBERTAD,15533
BOYACÁ,LA LIBERTAD,15550
BOYACÁ,LENGUPA,15090
BOYACÁ,LENGUPA,15135
BOYACÁ,LENGUPA,15455
BOYACÁ,LENGUPA,15514
BOYACÁ,LENGUPA,15660
BOYACÁ,LENGUPA,15897
BOYACÁ,MARQUEZ,15104
BOYACÁ,MARQUEZ,15189
BOYACÁ,MARQUEZ,15367
BOYACÁ,MARQUEZ,15494
BOYACÁ,MARQUEZ,15599
BOYACÁ,MARQUEZ,15621
BOYACÁ,MARQUEZ,15804
BOYACÁ,MARQUEZ,15835
BOYACÁ,MARQUEZ,15842
BOYACÁ,MARQUEZ,15879
BOYACÁ,NEIRA,15172
BOYACÁ,NEIRA,15299
BOYACÁ,NEIRA,15425
BOYACÁ,NEIRA,15511
BOYACÁ,NEIRA,15667
BOYACÁ,NEIRA,15690
BOYACÁ,NORTE,15097
BOYACÁ,NORTE,15218
BOYACÁ,NORTE,15403
BOYACÁ,NORTE,15673
BOYACÁ,NORTE,15720
BOYACÁ,NORTE,15723
BOYACÁ,NORTE,15753
BOYACÁ,NORTE,15774
BOYACÁ,NORTE,15810
BOYACÁ,OCCIDENTE,15106
BOYACÁ,OCCIDENTE,15109
BOYACÁ,OCCIDENTE,15131
BOYACÁ,OCCIDENTE,15176
BOYACÁ,OCCIDENTE,15212
BOYACÁ,OCCIDENTE,15401
BOYACÁ,OCCIDENTE,15442
BOYACÁ,OCCIDENTE,15480
BOYACÁ,OCCIDENTE,15507
BOYACÁ,OCCIDENTE,15531
BOYACÁ,OCCIDENTE,15572
BOYACÁ,OCCIDENTE,15580
BOYACÁ,OCCIDENTE,15632
BOYACÁ,OCCIDENTE,15676
BOYACÁ,OCCIDENTE,15681
BOYACÁ,OCCIDENTE,15832
BOYACÁ,ORIENTE,15022
BOYACÁ,ORIENTE,15236
BOYACÁ,ORIENTE,15322
BOYACÁ,ORIENTE,15325
BOYACÁ,ORIENTE,15380
BOYACÁ,ORIENTE,15761
BOYACÁ,ORIENTE,15778
BOYACÁ,ORIENTE,15798
BOYACÁ,RICAURTE,15051
BOYACÁ,RICAURTE,15185
BOYACÁ,RICAURTE,15293
BOYACÁ,RICAURTE,15469
BOYACÁ,RICAURTE,15600
BOYACÁ,RICAURTE,15638
BOYACÁ,RICAURTE,15664
BOYACÁ,RICAURTE,15696
BOYACÁ,RICAURTE,15686
BOYACÁ,RICAURTE,15776
BOYACÁ,RICAURTE,15808
BOYACÁ,RICAURTE,15816
BOYACÁ,RICAURTE,15407
BOYACÁ,SUGAMUXI,15047
BOYACÁ,SUGAMUXI,15226
BOYACÁ,SUGAMUXI,15272
BOYACÁ,SUGAMUXI,15296
BOYACÁ,SUGAMUXI,15362
BOYACÁ,SUGAMUXI,15464
BOYACÁ,SUGAMUXI,15466
BOYACÁ,SUGAMUXI,15491
BOYACÁ,SUGAMUXI,15542
BOYACÁ,SUGAMUXI,15759
BOYACÁ,SUGAMUXI,15806
BOYACÁ,SUGAMUXI,15820
BOYACÁ,SUGAMUXI,15822
BOYACÁ,TUNDAMA,15087
BOYACÁ,TUNDAMA,15114
BOYACÁ,TUNDAMA,15162
BOYACÁ,TUNDAMA,15215
BOYACÁ,TUNDAMA,15238
BOYACÁ,TUNDAMA,15276
BOYACÁ,TUNDAMA,15516
BOYACÁ,TUNDAMA,15693
BOYACÁ,TUNDAMA,15839
BOYACÁ,VALDERRAMA,15092
BOYACÁ,VALDERRAMA,15183
BOYACÁ,VALDERRAMA,15368
BOYACÁ,VALDERRAMA,15537
BOYACÁ,VALDERRAMA,15757
BOYACÁ,VALDERRAMA,15755
BOYACÁ,VALDERRAMA,15790
CALDAS,ALTO OCCIDENTE,17272
CALDAS,ALTO OCCIDENTE,17388
CALDAS,ALTO OCCIDENTE,17442
CALDAS,ALTO OCCIDENTE,17614
CALDAS,ALTO OCCIDENTE,17777
CALDAS,ALTO ORIENTE,17433
CALDAS,ALTO ORIENTE,17444
CALDAS,ALTO ORIENTE,17446
CALDAS,ALTO ORIENTE,17541
CALDAS,BAJO OCCIDENTE,17042
CALDAS,BAJO OCCIDENTE,17088
CALDAS,BAJO OCCIDENTE,17616
CALDAS,BAJO OCCIDENTE,17665
CALDAS,BAJO OCCIDENTE,17877
CALDAS,CENTRO,17174
CALDAS,CENTRO,17001
CALDAS,CENTRO,17486
CALDAS,CENTRO,17524
CALDAS,CENTRO,17873
CALDAS,NORTE,17013
CALDAS,NORTE,17050
CALDAS,NORTE,17513
CALDAS,NORTE,17653
CALDAS,ORIENTE,17380
CALDAS,ORIENTE,17495
CALDAS,ORIENTE,17662
CALDAS,ORIENTE,17867
CAQUETA,CAQUETA,18029
CAQUETA,CAQUETA,18094
CAQUETA,CAQUETA,18150
CAQUETA,CAQUETA,18205
CAQUETA,CAQUETA,18247
CAQUETA,CAQUETA,18256
CAQUETA,CAQUETA,18001
CAQUETA,CAQUETA,18410
CAQUETA,CAQUETA,18460
CAQUETA,CAQUETA,18479
CAQUETA,CAQUETA,18592
CAQUETA,CAQUETA,18610
CAQUETA,CAQUETA,18753
CAQUETA,CAQUETA,18756
CAQUETA,CAQUETA,18785
CAQUETA,CAQUETA,18860
CASANARE,CASANARE,85010
CASANARE,CASANARE,85015
CASANARE,CASANARE,85125
CASANARE,CASANARE,85136
CASANARE,CASANARE,85139
CASANARE,CASANARE,85162
CASANARE,CASANARE,85225
CASANARE,CASANARE,85230
CASANARE,CASANARE,85250
CASANARE,CASANARE,85263
CASANARE,CASANARE,85279
CASANARE,CASANARE,85300
CASANARE,CASANARE,85315
CASANARE,CASANARE,85325
CASANARE,CASANARE,85400
CASANARE,CASANARE,85410
CASANARE,CASANARE,85430
CASANARE,CASANARE,85440
CASANARE,CASANARE,85001
CAUCA,CENTRO,19130
CAUCA,CENTRO,19256
CAUCA,CENTRO,19392
CAUCA,CENTRO,19473
CAUCA,CENTRO,19548
CAUCA,CENTRO,19001
CAUCA,CENTRO,19622
CAUCA,CENTRO,19760
CAUCA,CENTRO,19807
CAUCA,NORTE,19110
CAUCA,NORTE,19142
CAUCA,NORTE,19212
CAUCA,NORTE,19455
CAUCA,NORTE,19513
CAUCA,NORTE,19573
CAUCA,NORTE,19698
CAUCA,NORTE,19780
CAUCA,NORTE,19845
CAUCA,OCCIDENTE,19318
CAUCA,OCCIDENTE,19418
CAUCA,OCCIDENTE,19809
CAUCA,ORIENTE,19137
CAUCA,ORIENTE,19355
CAUCA,ORIENTE,19364
CAUCA,ORIENTE,19517
CAUCA,ORIENTE,19585
CAUCA,ORIENTE,19743
CAUCA,ORIENTE,19821
CAUCA,ORIENTE,19824
CAUCA,SUR,19022
CAUCA,SUR,19050
CAUCA,SUR,19075
CAUCA,SUR,19100
CAUCA,SUR,19290
CAUCA,SUR,19397
CAUCA,SUR,19450
CAUCA,SUR,19532
CAUCA,SUR,19533
CAUCA,SUR,19693
CAUCA,SUR,19701
CAUCA,SUR,19785
CESAR,CENTRAL,20045
CESAR,CENTRAL,20175
CESAR,CENTRAL,20178
CESAR,CENTRAL,20228
CESAR,CENTRAL,20400
CESAR,CENTRAL,20517
